[1321561937.847629, '57']
[1321561937.865054, '58']
[1321561937.882541, '59']
[1321561937.900028, '56']
[1321561937.917484, '59']
[1321561937.93494, '59']
[1321561937.952304, '58']
[1321561937.969699, '59']
[1321561937.987247, '59']
[1321561938.004611, '58']
[1321561938.022006, '58']
[1321561938.03934, '60']
[1321561938.056857, '55']
[1321561938.074252, '59']
[1321561938.091647, '58']
[1321561938.10892, '59']
[1321561938.126315, '57']
[1321561938.143558, '57']
[1321561938.160861, '57']
[1321561938.178073, '59']
[1321561938.195316, '60']
[1321561938.21265, '59']
[1321561938.229892, '56']
[1321561938.247134, '59']
[1321561938.264377, '57']
[1321561938.28168, '56']
[1321561938.298953, '58']
[1321561938.316165, '58']
[1321561938.333377, '58']
[1321561938.350528, '57']
[1321561938.367862, '58']
[1321561938.385104, '58']
[1321561938.402347, '61']
[1321561938.419528, '57']
[1321561938.43671, '61']
[1321561938.453922, '58']
[1321561938.471195, '57']
[1321561938.488376, '58']
[1321561938.505649, '58']
[1321561938.52283, '57']
[1321561938.540164, '57']
[1321561938.557315, '56']
[1321561938.57468, '58']
[1321561938.591892, '57']
[1321561938.609165, '58']
[1321561938.626529, '58']
[1321561938.643832, '59']
[1321561938.661075, '56']
[1321561938.678287, '56']
[1321561938.69556, '60']
[1321561938.712863, '57']
[1321561938.730136, '57']
[1321561938.747379, '59']
[1321561938.76456, '57']
[1321561938.781894, '58']
[1321561938.799136, '58']
[1321561938.816348, '56']
[1321561938.83356, '56']
[1321561938.850833, '57']
[1321561938.868137, '60']
[1321561938.885379, '59']
[1321561938.902744, '59']
[1321561938.919986, '57']
[1321561938.937167, '60']
[1321561938.954532, '61']
[1321561938.971744, '58']
[1321561938.988956, '59']
[1321561939.006107, '58']
[1321561939.023258, '61']
[1321561939.040561, '57']
[1321561939.057773, '57']
[1321561939.075015, '56']
[1321561939.092197, '56']
[1321561939.109378, '56']
[1321561939.126743, '56']
[1321561939.143924, '59']
[1321561939.161166, '56']
[1321561939.178287, '58']
[1321561939.195468, '56']
[1321561939.212802, '60']
[1321561939.229953, '57']
[1321561939.247134, '58']
[1321561939.264255, '57']
[1321561939.281436, '56']
[1321561939.298709, '56']
[1321561939.315921, '60']
[1321561939.333133, '56']
[1321561939.350253, '61']
[1321561939.367435, '60']
[1321561939.384647, '59']
[1321561939.401798, '60']
[1321561939.418979, '58']
[1321561939.43616, '57']
[1321561939.453311, '173']
[1321561939.470615, '172']
[1321561939.487766, '172']
[1321561939.505222, '172']
[1321561939.522586, '173']
[1321561939.53989, '170']
[1321561939.589999, '58']
[1321561939.607181, '59']
[1321561939.624393, '56']
[1321561939.641696, '58']
[1321561939.658939, '60']
[1321561939.676212, '59']
[1321561939.693363, '59']
[1321561939.710574, '58']
[1321561939.727939, '54']
[1321561939.745212, '58']
[1321561939.762393, '172']
[1321561939.779575, '172']
[1321561939.796756, '172']
[1321561939.814151, '172']
[1321561939.831363, '171']
[1321561939.848514, '172']
[1321561939.898319, '60']
[1321561939.915622, '58']
[1321561939.932712, '60']
[1321561939.949863, '59']
[1321561939.966983, '59']
[1321561939.984012, '58']
[1321561940.001254, '61']
[1321561940.018436, '58']
[1321561940.035495, '58']
[1321561940.052585, '58']
[1321561940.069705, '172']
[1321561940.086978, '172']
[1321561940.10416, '172']
