[1321563315.041733, '58']
[1321563315.059861, '60']
[1321563315.078049, '62']
[1321563315.096055, '60']
[1321563315.114243, '59']
[1321563315.13234, '60']
[1321563315.150345, '61']
[1321563315.168503, '59']
[1321563315.186478, '61']
[1321563315.204636, '60']
[1321563315.222733, '61']
[1321563315.240769, '59']
[1321563315.258744, '61']
[1321563315.276902, '58']
[1321563315.294907, '61']
[1321563315.312791, '58']
[1321563315.330765, '58']
[1321563315.348832, '59']
[1321563315.366715, '60']
[1321563315.384598, '59']
[1321563315.402543, '60']
[1321563315.420396, '58']
[1321563315.438248, '61']
[1321563315.456345, '58']
[1321563315.474137, '58']
[1321563315.491868, '60']
[1321563315.509812, '60']
[1321563315.527756, '58']
[1321563315.545609, '58']
[1321563315.56334, '60']
[1321563315.581284, '58']
[1321563315.599137, '60']
[1321563315.616959, '58']
[1321563315.634782, '60']
[1321563315.652817, '60']
[1321563315.67064, '59']
[1321563315.688523, '60']
[1321563315.706406, '59']
[1321563315.724229, '61']
[1321563315.742051, '60']
[1321563315.759812, '58']
[1321563315.777695, '57']
[1321563315.795518, '60']
[1321563315.813462, '59']
[1321563315.831437, '60']
[1321563315.849381, '60']
[1321563315.867234, '59']
[1321563315.885117, '60']
[1321563315.903092, '58']
[1321563315.920975, '60']
[1321563315.938798, '60']
[1321563315.956772, '58']
[1321563315.974686, '61']
[1321563315.9926, '60']
[1321563316.010483, '61']
[1321563316.028428, '61']
[1321563316.046403, '60']
[1321563316.064255, '61']
[1321563316.082261, '60']
[1321563316.100144, '59']
[1321563316.118058, '60']
[1321563316.136063, '60']
[1321563316.153855, '59']
[1321563316.171586, '58']
[1321563316.1895, '59']
[1321563316.207444, '59']
[1321563316.225266, '61']
[1321563316.243149, '61']
[1321563316.261033, '61']
[1321563316.278824, '58']
[1321563316.296647, '61']
[1321563316.314408, '61']
[1321563316.332322, '59']
[1321563316.350083, '60']
[1321563316.367905, '60']
[1321563316.385819, '58']
[1321563316.403641, '60']
[1321563316.421525, '59']
[1321563316.4395, '58']
