[1321563083.914048, '59']
[1321563083.931748, '60']
[1321563083.94954, '56']
[1321563083.967209, '56']
[1321563083.98494, '59']
[1321563084.003312, '62']
[1321563084.021104, '59']
[1321563084.038804, '158']
[1321563084.056473, '158']
[1321563084.074052, '157']
[1321563084.091813, '158']
[1321563084.109452, '158']
[1321563084.127244, '157']
[1321563084.178818, '59']
[1321563084.196458, '60']
[1321563084.214341, '59']
[1321563084.232163, '61']
[1321563084.250443, '59']
[1321563084.268174, '59']
[1321563084.285996, '57']
[1321563084.303666, '57']
[1321563084.321397, '60']
[1321563084.339249, '58']
[1321563084.35698, '157']
[1321563084.37465, '158']
[1321563084.392411, '158']
[1321563084.410233, '156']
[1321563084.428086, '158']
[1321563084.445756, '157']
[1321563084.495774, '58']
[1321563084.513474, '61']
[1321563084.531083, '62']
[1321563084.548722, '58']
[1321563084.566514, '59']
[1321563084.584305, '57']
[1321563084.602097, '57']
[1321563084.619889, '59']
[1321563084.637742, '62']
[1321563084.655533, '60']
[1321563084.673203, '158']
[1321563084.691056, '157']
[1321563084.708787, '157']
[1321563084.726548, '156']
[1321563084.744248, '157']
[1321563084.76207, '156']
[1321563084.779801, '159']
[1321563084.83281, '59']
[1321563084.850541, '61']
[1321563084.868272, '59']
[1321563084.886124, '61']
[1321563084.903916, '58']
[1321563084.921677, '59']
[1321563084.939439, '59']
[1321563084.957383, '58']
[1321563084.975175, '57']
[1321563084.993027, '158']
[1321563085.010911, '157']
[1321563085.028794, '158']
[1321563085.046525, '155']
[1321563085.064255, '156']
[1321563085.082078, '158']
[1321563085.099839, '159']
[1321563085.151353, '59']
[1321563085.169083, '59']
[1321563085.186875, '61']
[1321563085.204514, '56']
[1321563085.222306, '59']
[1321563085.240037, '58']
[1321563085.257737, '58']
[1321563085.275284, '59']
[1321563085.293015, '57']
[1321563085.310654, '158']
[1321563085.328263, '158']
[1321563085.346024, '157']
[1321563085.363877, '156']
[1321563085.381608, '159']
[1321563085.399277, '156']
[1321563085.4171, '156']
[1321563085.468308, '61']
[1321563085.485978, '60']
[1321563085.503678, '57']
[1321563085.521409, '62']
[1321563085.539109, '60']
[1321563085.556779, '61']
[1321563085.574723, '60']
[1321563085.592393, '60']
[1321563085.610093, '59']
[1321563085.627885, '60']
[1321563085.645615, '158']
[1321563085.663254, '158']
[1321563085.680894, '157']
[1321563085.698685, '157']
[1321563085.716355, '158']
[1321563085.734055, '156']
[1321563085.785386, '58']
[1321563085.803025, '59']
[1321563085.820817, '60']
[1321563085.838517, '61']
[1321563085.856309, '61']
[1321563085.874009, '60']
[1321563085.89174, '59']
[1321563085.909531, '60']
[1321563085.927293, '62']
[1321563085.945054, '59']
[1321563085.962845, '157']
[1321563085.980698, '156']
[1321563085.998276, '156']
[1321563086.015977, '158']
[1321563086.033707, '156']
[1321563086.051469, '156']
[1321563086.102616, '61']
[1321563086.120408, '60']
[1321563086.138138, '60']
[1321563086.155747, '57']
[1321563086.173539, '60']
[1321563086.1913, '57']
[1321563086.209, '55']
[1321563086.22667, '59']
[1321563086.244401, '59']
[1321563086.262284, '60']
[1321563086.279984, '157']
[1321563086.297562, '157']
[1321563086.315415, '157']
[1321563086.333146, '156']
[1321563086.350815, '156']
[1321563086.368516, '157']
[1321563086.417435, '60']
[1321563086.435074, '56']
[1321563086.452836, '58']
[1321563086.470536, '57']
[1321563086.488297, '60']
[1321563086.506089, '60']
[1321563086.523728, '57']
[1321563086.541428, '58']
[1321563086.559434, '59']
[1321563086.577103, '58']
[1321563086.594742, '157']
[1321563086.612534, '156']
[1321563086.630234, '155']
[1321563086.647874, '154']
[1321563086.665665, '156']
[1321563086.683335, '157']
[1321563086.701035, '155']
[1321563086.752488, '60']
[1321563086.77031, '55']
[1321563086.78801, '56']
[1321563086.805649, '57']
[1321563086.823563, '59']
[1321563086.841386, '60']
[1321563086.859208, '60']
[1321563086.876969, '60']
[1321563086.894883, '60']
[1321563086.912705, '156']
[1321563086.930436, '156']
[1321563086.948502, '157']
[1321563086.966294, '156']
[1321563086.984147, '156']
[1321563087.001969, '155']
[1321563087.019822, '155']
[1321563087.071, '59']
[1321563087.088822, '57']
[1321563087.106492, '61']
[1321563087.124253, '60']
[1321563087.142106, '58']
[1321563087.16005, '59']
[1321563087.177811, '60']
[1321563087.195573, '60']
[1321563087.213364, '58']
[1321563087.231278, '156']
[1321563087.24907, '157']
[1321563087.266831, '156']
[1321563087.284623, '156']
[1321563087.302415, '156']
[1321563087.320145, '154']
[1321563087.338029, '157']
[1321563087.389573, '56']
[1321563087.407334, '59']
[1321563087.425156, '59']
[1321563087.442918, '60']
[1321563087.460648, '61']
[1321563087.478532, '58']
[1321563087.496262, '61']
[1321563087.514054, '57']
[1321563087.531876, '58']
[1321563087.54979, '58']
[1321563087.567551, '157']
[1321563087.585251, '156']
[1321563087.603013, '157']
[1321563087.620713, '157']
[1321563087.638535, '155']
[1321563087.656327, '157']
[1321563087.70781, '60']
[1321563087.725602, '58']
[1321563087.743272, '61']
[1321563087.761094, '60']
[1321563087.778916, '57']
[1321563087.796708, '57']
