[1321562071.526462, '60']
[1321562071.543918, '58']
[1321562071.561374, '59']
[1321562071.578861, '61']
[1321562071.596378, '61']
[1321562071.613864, '58']
[1321562071.63129, '58']
[1321562071.648807, '59']
[1321562071.666202, '58']
[1321562071.683536, '60']
[1321562071.700931, '59']
[1321562071.718295, '59']
[1321562071.735873, '60']
[1321562071.753238, '60']
[1321562071.770633, '61']
[1321562071.787936, '59']
[1321562071.805362, '58']
[1321562071.822604, '58']
[1321562071.839938, '58']
[1321562071.85715, '58']
[1321562071.874423, '60']
[1321562071.891666, '58']
[1321562071.909122, '58']
[1321562071.926395, '60']
[1321562071.943637, '62']
[1321562071.96088, '59']
[1321562071.978244, '59']
[1321562071.995487, '59']
[1321562072.012729, '59']
[1321562072.02988, '61']
[1321562072.047122, '60']
[1321562072.064395, '60']
[1321562072.081668, '57']
[1321562072.098911, '57']
[1321562072.116123, '61']
[1321562072.133426, '59']
[1321562072.150638, '58']
[1321562072.167819, '56']
[1321562072.185031, '58']
[1321562072.202213, '59']
[1321562072.219577, '56']
[1321562072.236728, '60']
[1321562072.254001, '59']
[1321562072.271152, '59']
[1321562072.288425, '57']
[1321562072.305759, '59']
[1321562072.323062, '59']
[1321562072.340305, '58']
[1321562072.357547, '55']
[1321562072.374759, '58']
[1321562072.392123, '59']
[1321562072.409366, '59']
[1321562072.4267, '60']
[1321562072.443851, '59']
[1321562072.461185, '59']
[1321562072.478488, '57']
[1321562072.4957, '59']
[1321562072.513156, '59']
[1321562072.53046, '60']
[1321562072.547763, '57']
[1321562072.565036, '57']
[1321562072.582279, '60']
[1321562072.599551, '61']
[1321562072.616733, '59']
[1321562072.634097, '59']
[1321562072.651309, '59']
[1321562072.668521, '59']
[1321562072.685703, '60']
[1321562072.702915, '62']
[1321562072.720126, '59']
[1321562072.73743, '59']
[1321562072.754611, '58']
[1321562072.771793, '58']
[1321562072.788974, '60']
[1321562072.8064, '60']
[1321562072.823673, '61']
[1321562072.840823, '60']
[1321562072.858035, '59']
[1321562072.875278, '60']
[1321562072.892459, '58']
[1321562072.909641, '58']
[1321562072.926791, '60']
[1321562072.943942, '60']
[1321562072.961154, '60']
[1321562072.978397, '57']
[1321562072.995609, '57']
[1321562073.012973, '57']
[1321562073.030124, '158']
[1321562073.047427, '159']
[1321562073.064578, '159']
[1321562073.08179, '160']
[1321562073.099002, '159']
[1321562073.116214, '157']
[1321562073.166477, '58']
[1321562073.183658, '58']
[1321562073.200839, '60']
[1321562073.218173, '61']
[1321562073.235355, '58']
[1321562073.252567, '59']
[1321562073.269748, '58']
[1321562073.286929, '60']
[1321562073.304141, '59']
[1321562073.321414, '60']
[1321562073.338657, '158']
[1321562073.355899, '158']
[1321562073.373142, '158']
[1321562073.390292, '158']
[1321562073.407626, '157']
[1321562073.42493, '159']
[1321562073.474857, '59']
[1321562073.492038, '61']
[1321562073.509311, '60']
[1321562073.526462, '58']
[1321562073.543582, '60']
[1321562073.560733, '59']
[1321562073.577853, '60']
[1321562073.595187, '58']
[1321562073.612338, '58']
[1321562073.629428, '57']
[1321562073.646488, '159']
[1321562073.663608, '159']
[1321562073.68082, '159']
[1321562073.698062, '156']
[1321562073.715091, '157']
[1321562073.732303, '159']
[1321562073.779636, '61']
[1321562073.796817, '59']
[1321562073.81406, '59']
[1321562073.831149, '59']
[1321562073.848239, '58']
[1321562073.865329, '59']
[1321562073.882449, '59']
[1321562073.899783, '57']
[1321562073.916904, '59']
[1321562073.934024, '61']
[1321562073.951236, '60']
[1321562073.968326, '158']
[1321562073.985477, '159']
[1321562074.002567, '158']
[1321562074.019717, '159']
[1321562074.03696, '158']
[1321562074.05405, '158']
[1321562074.101566, '60']
[1321562074.118839, '59']
[1321562074.135867, '57']
[1321562074.152957, '58']
[1321562074.170078, '54']
[1321562074.187198, '59']
[1321562074.204562, '61']
[1321562074.221744, '59']
[1321562074.238956, '60']
[1321562074.256168, '57']
[1321562074.273319, '58']
[1321562074.290653, '158']
[1321562074.307864, '158']
[1321562074.325076, '158']
[1321562074.342227, '160']
[1321562074.359317, '159']
[1321562074.376651, '156']
[1321562074.426425, '58']
[1321562074.443607, '60']
[1321562074.460788, '61']
[1321562074.478092, '59']
[1321562074.495242, '60']
[1321562074.512454, '61']
[1321562074.529514, '60']
[1321562074.546634, '60']
[1321562074.563968, '61']
[1321562074.58118, '58']
[1321562074.598331, '159']
[1321562074.615512, '159']
[1321562074.632694, '158']
[1321562074.650028, '161']
[1321562074.667117, '159']
[1321562074.684299, '157']
[1321562074.701328, '160']
[1321562074.751041, '57']
[1321562074.768161, '60']
[1321562074.785404, '57']
[1321562074.802524, '61']
[1321562074.819705, '58']
[1321562074.836826, '60']
[1321562074.853946, '60']
[1321562074.871127, '58']
[1321562074.888278, '60']
[1321562074.905399, '61']
[1321562074.922641, '160']
[1321562074.939761, '160']
[1321562074.957034, '160']
[1321562074.974094, '158']
[1321562074.991214, '161']
[1321562075.008456, '159']
[1321562075.02576, '160']
[1321562075.075412, '60']
[1321562075.092624, '61']
[1321562075.109927, '58']
[1321562075.127109, '57']
[1321562075.14429, '58']
[1321562075.161441, '62']
[1321562075.178623, '58']
[1321562075.195987, '60']
[1321562075.213229, '59']
[1321562075.230472, '56']
[1321562075.247745, '160']
[1321562075.265079, '160']
[1321562075.282321, '160']
[1321562075.299503, '158']
[1321562075.316654, '162']
[1321562075.333865, '134']
[1321562075.381107, '61']
[1321562075.398258, '59']
[1321562075.415561, '61']
[1321562075.432651, '58']
[1321562075.449985, '58']
[1321562075.467044, '58']
[1321562075.484103, '59']
[1321562075.501407, '58']
[1321562075.518527, '59']
[1321562075.535709, '59']
[1321562075.552799, '58']
[1321562075.57001, '161']
[1321562075.587222, '160']
[1321562075.604373, '161']
[1321562075.621433, '161']
[1321562075.638583, '161']
[1321562075.655643, '159']
[1321562075.705234, '60']
[1321562075.722293, '59']
[1321562075.739444, '61']
[1321562075.756564, '58']
[1321562075.773868, '60']
[1321562075.790927, '60']
[1321562075.807987, '61']
[1321562075.825076, '57']
[1321562075.842258, '59']
[1321562075.859348, '59']
[1321562075.876651, '67']
[1321562075.893802, '160']
[1321562075.910983, '160']
[1321562075.928165, '159']
[1321562075.945285, '160']
[1321562075.96265, '159']
[1321562075.9798, '160']
[1321562076.029819, '56']
[1321562076.046939, '60']
[1321562076.064182, '60']
[1321562076.081302, '61']
[1321562076.098392, '60']
[1321562076.115451, '57']
[1321562076.132541, '58']
[1321562076.149905, '58']
[1321562076.167209, '58']
[1321562076.18436, '60']
[1321562076.201541, '160']
[1321562076.218723, '159']
[1321562076.236057, '160']
[1321562076.253207, '159']
[1321562076.270328, '160']
[1321562076.287448, '159']
[1321562076.304569, '157']
[1321562076.354648, '59']
[1321562076.371799, '58']
[1321562076.388919, '59']
[1321562076.40607, '60']
[1321562076.423404, '58']
[1321562076.440616, '60']
[1321562076.457736, '58']
[1321562076.474979, '55']
[1321562076.49213, '57']
[1321562076.509494, '62']
