[1321549135.585908, '162']
[1321549135.635804, '53']
[1321549135.653016, '57']
[1321549135.670197, '55']
[1321549135.68747, '57']
[1321549135.704591, '56']
[1321549135.721833, '53']
[1321549135.739045, '56']
[1321549135.756288, '58']
[1321549135.77353, '57']
[1321549135.790864, '162']
[1321549135.808106, '162']
[1321549135.82541, '162']
[1321549135.842713, '160']
[1321549135.860047, '163']
[1321549135.877229, '161']
[1321549135.924958, '56']
[1321549135.94214, '56']
[1321549135.959382, '58']
[1321549135.976746, '55']
[1321549135.993928, '55']
[1321549136.01117, '56']
[1321549136.028474, '54']
[1321549136.045686, '57']
[1321549136.062989, '55']
[1321549136.080171, '54']
[1321549136.097382, '163']
[1321549136.114503, '162']
[1321549136.131654, '162']
[1321549136.148957, '162']
[1321549136.166291, '162']
[1321549136.183595, '164']
[1321549136.200868, '160']
[1321549136.2511, '55']
[1321549136.268403, '54']
[1321549136.285706, '57']
[1321549136.302857, '53']
[1321549136.3201, '57']
[1321549136.337373, '55']
[1321549136.354615, '55']
[1321549136.371797, '55']
[1321549136.389069, '56']
[1321549136.406342, '54']
[1321549136.423646, '161']
[1321549136.440949, '162']
[1321549136.458222, '162']
[1321549136.476991, '160']
[1321549136.495423, '162']
[1321549136.512666, '162']
[1321549136.529878, '163']
[1321549136.579804, '56']
[1321549136.597108, '55']
[1321549136.61435, '56']
[1321549136.631593, '56']
[1321549136.649018, '54']
[1321549136.666261, '56']
[1321549136.683595, '56']
[1321549136.700807, '57']
[1321549136.718049, '56']
[1321549136.736237, '55']
[1321549136.753541, '162']
[1321549136.770692, '163']
[1321549136.787904, '162']
[1321549136.805299, '163']
[1321549136.822541, '162']
[1321549136.839906, '162']
[1321549136.889802, '55']
[1321549136.907166, '53']
[1321549136.924378, '57']
[1321549136.94159, '55']
[1321549136.958741, '56']
[1321549136.975923, '54']
[1321549136.993287, '54']
[1321549137.010468, '56']
[1321549137.02765, '55']
[1321549137.04477, '53']
[1321549137.062074, '163']
[1321549137.079255, '163']
[1321549137.096589, '163']
[1321549137.11374, '162']
[1321549137.130921, '162']
[1321549137.148164, '160']
[1321549137.165345, '161']
[1321549137.214936, '57']
[1321549137.232148, '56']
[1321549137.249299, '56']
[1321549137.266602, '57']
[1321549137.283784, '55']
[1321549137.300965, '54']
[1321549137.318177, '55']
[1321549137.335481, '54']
[1321549137.352693, '56']
[1321549137.369904, '56']
[1321549137.387086, '162']
[1321549137.404298, '163']
[1321549137.421571, '162']
[1321549137.438874, '160']
[1321549137.456086, '162']
[1321549137.473359, '163']
[1321549137.520966, '56']
[1321549137.538117, '53']
[1321549137.555482, '54']
[1321549137.572663, '56']
[1321549137.589875, '57']
[1321549137.607057, '56']
[1321549137.624299, '54']
[1321549137.641663, '53']
[1321549137.658845, '55']
[1321549137.676026, '55']
[1321549137.693208, '55']
[1321549137.710511, '163']
[1321549137.727693, '162']
[1321549137.744935, '162']
[1321549137.762147, '162']
[1321549137.779298, '161']
[1321549137.79654, '163']
[1321549137.846528, '55']
[1321549137.863618, '55']
[1321549137.880738, '57']
[1321549137.898042, '56']
[1321549137.915193, '55']
[1321549137.932343, '55']
[1321549137.949555, '53']
[1321549137.966676, '55']
[1321549137.983949, '54']
[1321549138.001038, '55']
[1321549138.01825, '162']
[1321549138.035432, '162']
[1321549138.052552, '162']
[1321549138.069886, '162']
[1321549138.087068, '162']
[1321549138.104127, '161']
[1321549138.121339, '164']
[1321549138.170991, '56']
[1321549138.188294, '56']
[1321549138.205537, '56']
[1321549138.222718, '54']
[1321549138.239839, '55']
[1321549138.256989, '57']
[1321549138.274262, '53']
[1321549138.291474, '54']
[1321549138.308656, '56']
[1321549138.325837, '57']
[1321549138.343049, '161']
[1321549138.360383, '161']
[1321549138.377595, '162']
[1321549138.394715, '159']
[1321549138.411927, '162']
[1321549138.429292, '161']
[1321549138.446412, '162']
[1321549138.496339, '55']
[1321549138.51349, '54']
[1321549138.530641, '56']
[1321549138.547944, '54']
[1321549138.565125, '56']
[1321549138.582276, '56']
[1321549138.599458, '56']
[1321549138.616761, '57']
[1321549138.634004, '58']
[1321549138.651185, '56']
[1321549138.668458, '162']
[1321549138.685578, '162']
[1321549138.702912, '161']
[1321549138.720185, '162']
[1321549138.737458, '160']
[1321549138.75464, '162']
[1321549138.801911, '56']
[1321549138.819123, '56']
[1321549138.836488, '55']
[1321549138.853578, '57']
[1321549138.870759, '54']
[1321549138.887849, '54']
[1321549138.905, '56']
[1321549138.922242, '56']
[1321549138.939332, '55']
[1321549138.956483, '52']
[1321549138.973664, '55']
[1321549138.990815, '161']
[1321549139.008119, '161']
[1321549139.02533, '161']
[1321549139.042512, '162']
[1321549139.059663, '162']
[1321549139.076783, '161']
[1321549139.126588, '57']
[1321549139.143769, '55']
[1321549139.16092, '56']
[1321549139.178101, '57']
[1321549139.195313, '57']
[1321549139.212495, '56']
[1321549139.229676, '54']
[1321549139.246888, '57']
[1321549139.263978, '57']
[1321549139.281129, '55']
[1321549139.298219, '162']
[1321549139.315431, '161']
[1321549139.332642, '161']
[1321549139.349854, '162']
[1321549139.367066, '161']
[1321549139.384187, '161']
[1321549139.401307, '162']
[1321549139.450746, '55']
[1321549139.467835, '54']
[1321549139.485139, '58']
[1321549139.502229, '55']
[1321549139.51938, '55']
[1321549139.536469, '53']
[1321549139.55362, '55']
[1321549139.570893, '55']
[1321549139.588044, '55']
[1321549139.605164, '56']
[1321549139.622376, '162']
[1321549139.639619, '162']
[1321549139.656892, '162']
[1321549139.673951, '159']
[1321549139.691132, '162']
[1321549139.708253, '159']
[1321549139.725434, '162']
[1321549139.775392, '55']
[1321549139.792603, '57']
[1321549139.809754, '54']
[1321549139.826905, '58']
[1321549139.844087, '55']
[1321549139.861237, '55']
[1321549139.878358, '58']
[1321549139.895539, '56']
[1321549139.912599, '57']
[1321549139.929749, '54']
[1321549139.946992, '161']
[1321549139.964173, '161']
[1321549139.981294, '161']
[1321549139.998475, '159']
[1321549140.015656, '161']
[1321549140.032777, '162']
[1321549140.080201, '56']
[1321549140.097352, '56']
[1321549140.114472, '55']
[1321549140.131593, '56']
[1321549140.148774, '55']
[1321549140.165894, '58']
[1321549140.183015, '55']
[1321549140.200196, '57']
[1321549140.217347, '54']
[1321549140.234559, '56']
[1321549140.251771, '57']
[1321549140.268922, '161']
[1321549140.286073, '162']
[1321549140.303163, '162']
[1321549140.320374, '162']
[1321549140.337617, '163']
[1321549140.354768, '160']
[1321549140.402253, '56']
[1321549140.419373, '55']
[1321549140.436524, '58']
[1321549140.453889, '56']
[1321549140.471192, '56']
[1321549140.488404, '55']
[1321549140.505555, '54']
[1321549140.522767, '55']
[1321549140.540009, '53']
[1321549140.557252, '57']
[1321549140.574433, '55']
[1321549140.591615, '162']
[1321549140.608918, '161']
[1321549140.6261, '161']
[1321549140.643281, '162']
[1321549140.660432, '160']
[1321549140.677613, '161']
[1321549140.727632, '54']
[1321549140.744782, '57']
[1321549140.761903, '56']
[1321549140.779023, '56']
[1321549140.796113, '55']
[1321549140.813416, '57']
[1321549140.830934, '54']
[1321549140.847871, '53']
[1321549140.865052, '56']
[1321549140.88202, '58']
[1321549140.899201, '161']
[1321549140.916108, '161']
[1321549140.933198, '161']
[1321549140.950105, '161']
[1321549140.967256, '161']
[1321549140.984254, '161']
[1321549141.001374, '160']
[1321549141.050782, '56']
[1321549141.067902, '56']
[1321549141.08487, '54']
[1321549141.102143, '54']
[1321549141.119142, '54']
[1321549141.136262, '53']
[1321549141.15323, '53']
[1321549141.170442, '54']
[1321549141.18744, '56']
[1321549141.20456, '56']
[1321549141.221528, '162']
[1321549141.238648, '162']
[1321549141.255616, '162']
[1321549141.272767, '162']
[1321549141.289826, '162']
[1321549141.306947, '161']
[1321549141.323914, '159']
[1321549141.372773, '55']
[1321549141.389893, '55']
[1321549141.406953, '55']
[1321549141.424073, '55']
[1321549141.44101, '57']
[1321549141.4581, '57']
[1321549141.475221, '54']
[1321549141.492463, '58']
[1321549141.509339, '55']
[1321549141.52646, '60']
[1321549141.543305, '162']
[1321549141.560426, '162']
[1321549141.577271, '161']
[1321549141.594544, '161']
[1321549141.611451, '162']
[1321549141.62851, '160']
[1321549141.645387, '161']
[1321549141.694337, '55']
[1321549141.711549, '55']
[1321549141.728486, '54']
[1321549141.745545, '53']
[1321549141.762452, '55']
[1321549141.779664, '53']
[1321549141.796662, '56']
[1321549141.813752, '53']
[1321549141.830628, '55']
[1321549141.847718, '55']
[1321549141.864625, '161']
[1321549141.881654, '161']
[1321549141.898652, '161']
[1321549141.915772, '159']
[1321549141.93274, '162']
[1321549141.94983, '160']
[1321549141.966767, '162']
[1321549142.016175, '56']
[1321549142.033051, '56']
[1321549142.050141, '55']
[1321549142.067079, '54']
[1321549142.08426, '55']
[1321549142.101319, '53']
[1321549142.11847, '58']
[1321549142.135377, '56']
[1321549142.152497, '57']
[1321549142.169434, '55']
[1321549142.186494, '161']
[1321549142.203645, '161']
[1321549142.220765, '161']
[1321549142.237763, '159']
[1321549142.254853, '161']
[1321549142.271851, '160']
[1321549142.289002, '162']
[1321549142.338349, '55']
[1321549142.355531, '57']
[1321549142.372437, '54']
[1321549142.38971, '55']
[1321549142.406892, '56']
[1321549142.424043, '56']
[1321549142.441102, '54']
[1321549142.458192, '56']
[1321549142.475251, '52']
[1321549142.492524, '54']
[1321549142.509553, '162']
[1321549142.526673, '162']
[1321549142.543641, '161']
[1321549142.560822, '160']
[1321549142.577912, '163']
[1321549142.595094, '103']
[1321549142.642274, '55']
[1321549142.659211, '55']
[1321549142.676331, '55']
[1321549142.69336, '56']
[1321549142.710664, '54']
[1321549142.72757, '56']
[1321549142.744752, '56']
[1321549142.761689, '53']
[1321549142.778779, '54']
[1321549142.795686, '56']
[1321549142.812898, '55']
[1321549142.829774, '161']
[1321549142.846894, '161']
[1321549142.863709, '161']
[1321549142.880738, '159']
[1321549142.897584, '162']
[1321549142.914826, '134']
[1321549142.961823, '54']
[1321549142.978669, '54']
[1321549142.995881, '56']
[1321549143.012757, '55']
[1321549143.029786, '55']
[1321549143.046723, '55']
[1321549143.063844, '54']
[1321549143.080689, '55']
[1321549143.097749, '54']
[1321549143.114655, '54']
[1321549143.131715, '55']
[1321549143.148744, '162']
[1321549143.165833, '162']
[1321549143.182771, '162']
[1321549143.19983, '159']
[1321549143.216767, '161']
[1321549143.233979, '161']
[1321549143.250947, '135']
[1321549143.300446, '55']
[1321549143.317414, '53']
[1321549143.334565, '53']
[1321549143.351472, '55']
[1321549143.368531, '56']
[1321549143.385499, '55']
[1321549143.402589, '54']
[1321549143.419526, '55']
[1321549143.436524, '56']
[1321549143.453553, '56']
[1321549143.470673, '161']
[1321549143.487641, '162']
[1321549143.504731, '162']
[1321549143.521699, '162']
[1321549143.538819, '160']
[1321549143.555726, '162']
[1321549143.602967, '54']
[1321549143.620057, '54']
[1321549143.636994, '57']
[1321549143.654115, '53']
[1321549143.671052, '56']
[1321549143.688294, '55']
[1321549143.70511, '53']
[1321549143.72223, '56']
[1321549143.739137, '56']
[1321549143.756257, '54']
[1321549143.773225, '54']
[1321549143.790376, '161']
[1321549143.807252, '161']
[1321549143.824403, '161']
[1321549143.841309, '160']
[1321549143.85843, '162']
[1321549143.875428, '100']
[1321549143.922364, '55']
[1321549143.939301, '56']
[1321549143.956452, '52']
[1321549143.973359, '59']
[1321549143.990449, '55']
[1321549144.007508, '55']
[1321549144.024629, '57']
[1321549144.041596, '55']
[1321549144.058717, '56']
[1321549144.075623, '57']
[1321549144.092774, '56']
[1321549144.109834, '161']
[1321549144.126893, '162']
[1321549144.143891, '162']
[1321549144.161042, '160']
[1321549144.17804, '163']
[1321549144.195222, '135']
[1321549144.242371, '54']
[1321549144.259339, '55']
[1321549144.27646, '55']
[1321549144.293458, '55']
[1321549144.310548, '55']
[1321549144.327546, '58']
[1321549144.344788, '56']
[1321549144.361787, '56']
[1321549144.378907, '55']
[1321549144.395905, '58']
[1321549144.413026, '57']
[1321549144.430146, '161']
[1321549144.447297, '162']
[1321549144.464356, '162']
[1321549144.481599, '160']
[1321549144.498628, '163']
[1321549144.516053, '162']
[1321549144.562898, '56']
[1321549144.579957, '55']
[1321549144.596925, '57']
[1321549144.614015, '55']
[1321549144.630952, '55']
[1321549144.648194, '54']
[1321549144.665101, '53']
[1321549144.682191, '57']
[1321549144.699159, '54']
[1321549144.716248, '55']
[1321549144.733247, '55']
[1321549144.750459, '163']
