[1321564134.244842, '109']
[1321564134.263762, '109']
[1321564134.282653, '109']
[1321564134.301574, '109']
[1321564134.320464, '109']
[1321564134.339812, '108']
[1321564134.358642, '108']
[1321564134.377227, '109']
[1321564134.396087, '108']
[1321564134.415984, '109']
[1321564134.434661, '109']
[1321564134.453795, '109']
[1321564134.472655, '109']
[1321564134.491546, '109']
[1321564134.510375, '109']
[1321564134.529052, '109']
[1321564134.548186, '110']
[1321564134.566619, '109']
[1321564134.58554, '110']
[1321564134.604278, '109']
[1321564134.622771, '109']
[1321564134.64215, '109']
[1321564134.660888, '109']
[1321564134.679412, '109']
[1321564134.697936, '109']
[1321564134.716552, '110']
[1321564134.735259, '109']
[1321564134.754546, '109']
[1321564134.773223, '109']
[1321564134.791717, '109']
[1321564134.810088, '109']
[1321564134.829101, '109']
[1321564134.847869, '109']
[1321564134.866637, '109']
[1321564134.885344, '109']
[1321564134.90393, '109']
[1321564134.922545, '109']
[1321564134.941253, '109']
[1321564134.960387, '109']
[1321564134.978759, '109']
[1321564134.997466, '109']
[1321564135.016173, '108']
[1321564135.034636, '109']
[1321564135.053893, '109']
[1321564135.072509, '109']
[1321564135.091247, '109']
[1321564135.110167, '109']
[1321564135.128875, '109']
[1321564135.147216, '109']
[1321564135.16632, '109']
[1321564135.184844, '108']
[1321564135.203765, '109']
[1321564135.222411, '109']
[1321564135.24124, '108']
[1321564135.260375, '109']
[1321564135.279052, '109']
[1321564135.297637, '109']
[1321564135.316283, '109']
[1321564135.335113, '109']
[1321564135.353972, '109']
[1321564135.373076, '109']
[1321564135.391784, '109']
[1321564135.410644, '109']
[1321564135.429076, '109']
[1321564135.447997, '109']
[1321564135.46701, '109']
[1321564135.485778, '109']
[1321564135.504455, '109']
[1321564135.523192, '109']
[1321564135.541839, '109']
[1321564135.560637, '110']
[1321564135.579406, '109']
[1321564135.597442, '110']
[1321564135.616515, '110']
[1321564135.635161, '109']
[1321564135.654052, '109']
[1321564135.672851, '109']
[1321564135.691497, '109']
[1321564135.710143, '109']
[1321564135.72885, '110']
[1321564135.747252, '110']
[1321564135.76596, '110']
[1321564135.78485, '109']
[1321564135.803618, '109']
[1321564135.822234, '109']
[1321564135.841216, '109']
[1321564135.859801, '109']
[1321564135.878753, '109']
[1321564135.897368, '109']
[1321564135.916076, '109']
[1321564135.934722, '110']
[1321564135.95349, '110']
[1321564135.972106, '109']
[1321564135.990996, '110']
[1321564136.009459, '110']
[1321564136.028136, '110']
[1321564136.047362, '109']
[1321564136.065947, '109']
[1321564136.084838, '109']
[1321564136.103667, '110']
[1321564136.12213, '109']
[1321564136.140838, '109']
[1321564136.159453, '109']
[1321564136.178527, '109']
[1321564136.197082, '109']
[1321564136.215911, '109']
[1321564136.234527, '109']
[1321564136.253356, '109']
[1321564136.272246, '109']
[1321564136.291289, '109']
[1321564136.309752, '109']
[1321564136.328734, '109']
[1321564136.347228, '109']
[1321564136.366027, '109']
[1321564136.3851, '109']
[1321564136.403747, '108']
[1321564136.421935, '108']
[1321564136.440764, '109']
[1321564136.45935, '108']
[1321564136.477782, '108']
[1321564136.496489, '108']
[1321564136.515197, '109']
[1321564136.533263, '108']
[1321564136.552459, '108']
[1321564136.5708, '108']
[1321564136.589965, '109']
[1321564136.608581, '108']
[1321564136.627227, '109']
[1321564136.645873, '109']
[1321564136.664611, '109']
[1321564136.683104, '109']
[1321564136.702147, '109']
[1321564136.720763, '109']
[1321564136.739165, '109']
[1321564136.757964, '110']
[1321564136.776641, '110']
[1321564136.795531, '110']
[1321564136.8143, '111']
[1321564136.832824, '111']
[1321564136.851562, '111']
[1321564136.870208, '111']
[1321564136.889129, '111']
[1321564136.907683, '112']
[1321564136.926421, '112']
[1321564136.945037, '111']
[1321564136.963683, '111']
[1321564136.982451, '112']
[1321564137.001433, '112']
[1321564137.019622, '112']
[1321564137.038573, '112']
[1321564137.057158, '112']
[1321564137.075805, '112']
[1321564137.094634, '112']
[1321564137.113524, '112']
[1321564137.132262, '112']
[1321564137.151061, '112']
[1321564137.169677, '112']
[1321564137.188109, '112']
[1321564137.207152, '112']
[1321564137.226012, '112']
[1321564137.244445, '113']
[1321564137.26303, '113']
[1321564137.281859, '112']
[1321564137.300261, '113']
[1321564137.319426, '113']
[1321564137.337951, '112']
[1321564137.356444, '113']
[1321564137.375365, '113']
[1321564137.393737, '113']
[1321564137.41278, '113']
[1321564137.431457, '113']
[1321564137.450042, '113']
[1321564137.468535, '113']
[1321564137.487334, '113']
[1321564137.505889, '112']
[1321564137.524535, '113']
[1321564137.543395, '113']
[1321564137.562224, '112']
[1321564137.580626, '112']
[1321564137.599181, '112']
[1321564137.618346, '112']
[1321564137.636992, '112']
[1321564137.655547, '112']
[1321564137.674163, '112']
[1321564137.692656, '112']
[1321564137.71173, '112']
[1321564137.730315, '112']
[1321564137.749114, '112']
[1321564137.767974, '111']
[1321564137.78662, '111']
[1321564137.805419, '111']
[1321564137.824248, '111']
[1321564137.842986, '111']
[1321564137.86151, '111']
[1321564137.880279, '111']
[1321564137.89926, '110']
[1321564137.917541, '111']
[1321564137.936339, '111']
[1321564137.955138, '110']
[1321564137.973601, '110']
[1321564137.993194, '110']
[1321564138.011931, '110']
[1321564138.030852, '110']
[1321564138.049773, '110']
[1321564138.068541, '110']
[1321564138.086944, '110']
[1321564138.105437, '109']
[1321564138.124541, '109']
[1321564138.143035, '109']
[1321564138.161864, '108']
[1321564138.180388, '108']
[1321564138.19876, '108']
[1321564138.217681, '108']
[1321564138.236419, '108']
[1321564138.255462, '108']
[1321564138.274535, '108']
[1321564138.293059, '109']
[1321564138.311736, '109']
[1321564138.330871, '109']
[1321564138.349639, '110']
[1321564138.367766, '110']
[1321564138.386748, '110']
[1321564138.405425, '110']
[1321564138.424041, '110']
[1321564138.442992, '110']
[1321564138.461638, '110']
[1321564138.480254, '111']
[1321564138.498992, '111']
[1321564138.517669, '111']
[1321564138.536254, '111']
[1321564138.555083, '111']
[1321564138.573852, '112']
[1321564138.593017, '112']
[1321564138.611632, '112']
[1321564138.629943, '112']
[1321564138.649138, '112']
[1321564138.667296, '112']
[1321564138.686339, '112']
[1321564138.704802, '112']
[1321564138.723479, '112']
[1321564138.742949, '112']
[1321564138.761474, '112']
[1321564138.780181, '112']
[1321564138.799071, '112']
[1321564138.817443, '112']
[1321564138.83612, '111']
[1321564138.855071, '111']
[1321564138.873778, '112']
[1321564138.892211, '111']
[1321564138.91101, '111']
[1321564138.930358, '112']
[1321564138.949218, '112']
[1321564138.968108, '112']
[1321564138.98651, '112']
[1321564139.005156, '112']
[1321564139.023833, '112']
[1321564139.042144, '112']
[1321564139.061248, '113']
[1321564139.07965, '112']
[1321564139.098205, '112']
[1321564139.116698, '112']
[1321564139.135283, '112']
[1321564139.154113, '112']
[1321564139.173095, '113']
[1321564139.191588, '112']
[1321564139.210326, '113']
[1321564139.229766, '113']
[1321564139.248595, '113']
[1321564139.266875, '113']
[1321564139.28543, '113']
[1321564139.304198, '113']
[1321564139.322967, '113']
[1321564139.341094, '113']
[1321564139.359832, '113']
[1321564139.378539, '113']
[1321564139.397124, '113']
[1321564139.416442, '113']
[1321564139.435027, '113']
[1321564139.453856, '113']
[1321564139.473266, '112']
[1321564139.491759, '112']
[1321564139.510436, '112']
[1321564139.529143, '112']
[1321564139.54779, '112']
[1321564139.56671, '111']
[1321564139.585814, '111']
[1321564139.604369, '111']
[1321564139.623076, '111']
[1321564139.641601, '111']
[1321564139.66046, '112']
[1321564139.679015, '111']
[1321564139.698089, '112']
[1321564139.717467, '112']
[1321564139.737426, '112']
[1321564139.756286, '112']
[1321564139.775054, '112']
[1321564139.793548, '112']
[1321564139.81253, '112']
[1321564139.831054, '112']
[1321564139.850005, '112']
[1321564139.868712, '112']
[1321564139.887328, '112']
[1321564139.905608, '111']
[1321564139.924468, '112']
[1321564139.942992, '112']
[1321564139.96173, '112']
[1321564139.980468, '112']
[1321564139.999175, '112']
[1321564140.017791, '112']
[1321564140.036406, '112']
[1321564140.055114, '111']
[1321564140.073974, '112']
[1321564140.092223, '112']
[1321564140.111114, '112']
[1321564140.129729, '112']
[1321564140.148498, '112']
[1321564140.167083, '112']
[1321564140.185973, '111']
[1321564140.204406, '111']
[1321564140.223327, '111']
[1321564140.24182, '112']
[1321564140.260375, '111']
[1321564140.279357, '111']
[1321564140.298125, '112']
[1321564140.316161, '111']
[1321564140.335174, '111']
[1321564140.353545, '111']
[1321564140.372252, '112']
[1321564140.391051, '111']
[1321564140.409514, '111']
[1321564140.4281, '112']
[1321564140.446929, '112']
[1321564140.465209, '111']
[1321564140.48416, '112']
[1321564140.502807, '112']
[1321564140.521605, '111']
[1321564140.540191, '111']
[1321564140.558867, '112']
[1321564140.577483, '112']
[1321564140.596404, '112']
[1321564140.614562, '112']
[1321564140.633513, '111']
[1321564140.652099, '112']
[1321564140.670775, '112']
[1321564140.689879, '112']
[1321564140.708617, '112']
[1321564140.727324, '112']
[1321564140.746215, '112']
[1321564140.7648, '112']
[1321564140.783385, '112']
[1321564140.802001, '111']
[1321564140.8208, '112']
[1321564140.839171, '112']
[1321564140.858184, '112']
[1321564140.8768, '112']
[1321564140.895507, '112']
[1321564140.914458, '112']
[1321564140.933043, '112']
[1321564140.95172, '112']
[1321564140.970336, '112']
[1321564140.988677, '112']
[1321564141.007567, '112']
[1321564141.026183, '112']
[1321564141.045104, '112']
[1321564141.06375, '112']
[1321564141.082335, '112']
[1321564141.101287, '112']
[1321564141.119994, '112']
[1321564141.138885, '112']
[1321564141.157592, '111']
[1321564141.175841, '112']
[1321564141.195098, '112']
[1321564141.213592, '112']
[1321564141.232482, '112']
[1321564141.25122, '112']
[1321564141.269835, '112']
[1321564141.288543, '112']
[1321564141.307525, '112']
[1321564141.326323, '112']
[1321564141.344909, '112']
