[1321559984.190311, '57']
[1321559984.207492, '58']
[1321559984.224735, '57']
[1321559984.241855, '55']
[1321559984.259097, '58']
[1321559984.276248, '56']
[1321559984.29343, '58']
[1321559984.310642, '56']
[1321559984.327792, '54']
[1321559984.345065, '55']
[1321559984.362155, '57']
[1321559984.379276, '56']
[1321559984.396396, '57']
[1321559984.413547, '59']
[1321559984.430759, '56']
[1321559984.447971, '58']
[1321559984.465244, '56']
[1321559984.482486, '56']
[1321559984.499698, '57']
[1321559984.517581, '54']
[1321559984.535495, '57']
[1321559984.552646, '59']
[1321559984.569797, '59']
[1321559984.586948, '59']
[1321559984.60416, '56']
[1321559984.621433, '58']
[1321559984.638644, '60']
[1321559984.655856, '58']
[1321559984.673099, '56']
[1321559984.690219, '55']
[1321559984.707431, '60']
[1321559984.724521, '58']
[1321559984.741672, '58']
[1321559984.759525, '56']
[1321559984.776737, '57']
[1321559984.793857, '57']
[1321559984.811038, '57']
[1321559984.82822, '57']
[1321559984.845584, '58']
[1321559984.862735, '57']
[1321559984.879977, '58']
[1321559984.897067, '56']
[1321559984.914249, '56']
[1321559984.931461, '55']
[1321559984.948581, '57']
[1321559984.965671, '58']
[1321559984.982669, '56']
[1321559985.001163, '59']
[1321559985.019504, '57']
[1321559985.036716, '58']
[1321559985.053958, '57']
[1321559985.07114, '57']
[1321559985.088413, '56']
[1321559985.105594, '59']
[1321559985.122867, '55']
[1321559985.140079, '58']
[1321559985.157352, '170']
[1321559985.174472, '170']
[1321559985.191623, '169']
[1321559985.208774, '169']
[1321559985.225986, '168']
[1321559985.243289, '169']
[1321559985.292941, '57']
[1321559985.310031, '59']
[1321559985.32706, '55']
[1321559985.344241, '60']
[1321559985.361301, '56']
[1321559985.378391, '57']
[1321559985.39548, '56']
[1321559985.412509, '57']
[1321559985.42966, '55']
[1321559985.446994, '54']
[1321559985.464145, '169']
[1321559985.481326, '169']
[1321559985.498416, '169']
[1321559985.515598, '168']
[1321559985.53281, '170']
[1321559985.549869, '168']
