[1321563151.50438, '61']
[1321563151.522507, '59']
[1321563151.540604, '60']
[1321563151.558671, '59']
[1321563151.576707, '61']
[1321563151.594742, '59']
[1321563151.612809, '57']
[1321563151.630814, '60']
[1321563151.64882, '58']
[1321563151.666764, '60']
[1321563151.684922, '61']
[1321563151.702866, '56']
[1321563151.720872, '60']
[1321563151.738969, '57']
[1321563151.756913, '61']
[1321563151.774735, '59']
[1321563151.792863, '60']
[1321563151.810746, '59']
[1321563151.82869, '58']
[1321563151.846635, '61']
[1321563151.864579, '58']
[1321563151.882371, '60']
[1321563151.900315, '62']
[1321563151.918168, '61']
[1321563151.936021, '62']
[1321563151.953721, '57']
[1321563151.971604, '63']
[1321563151.989487, '62']
[1321563152.00731, '59']
[1321563152.025071, '59']
[1321563152.042893, '59']
[1321563152.060776, '62']
[1321563152.078538, '59']
[1321563152.09636, '59']
[1321563152.114243, '59']
[1321563152.131974, '59']
[1321563152.149827, '61']
[1321563152.16771, '62']
[1321563152.185624, '61']
[1321563152.203416, '61']
[1321563152.221177, '60']
[1321563152.238999, '60']
[1321563152.256882, '62']
[1321563152.274613, '60']
[1321563152.292527, '60']
[1321563152.31041, '58']
[1321563152.328263, '61']
[1321563152.346085, '61']
[1321563152.364152, '59']
[1321563152.382157, '164']
[1321563152.399979, '164']
[1321563152.417802, '164']
[1321563152.435715, '163']
[1321563152.453446, '163']
[1321563152.471421, '163']
[1321563152.523331, '62']
[1321563152.541123, '59']
[1321563152.559128, '60']
[1321563152.577134, '59']
[1321563152.594956, '60']
[1321563152.6129, '59']
[1321563152.630723, '60']
[1321563152.648514, '60']
[1321563152.666337, '60']
[1321563152.684312, '163']
[1321563152.702164, '163']
[1321563152.719956, '163']
[1321563152.73787, '162']
[1321563152.755723, '164']
[1321563152.773636, '71']
[1321563152.822648, '64']
[1321563152.840592, '60']
[1321563152.858292, '59']
[1321563152.876115, '59']
[1321563152.894028, '59']
[1321563152.911881, '59']
[1321563152.929581, '57']
[1321563152.947343, '58']
[1321563152.965226, '58']
[1321563152.983079, '59']
[1321563153.000748, '163']
[1321563153.018632, '163']
[1321563153.036332, '163']
[1321563153.054124, '161']
[1321563153.071885, '164']
[1321563153.089799, '163']
[1321563153.138871, '62']
[1321563153.156693, '60']
[1321563153.174393, '60']
[1321563153.192277, '60']
[1321563153.210068, '60']
[1321563153.227799, '59']
[1321563153.245682, '61']
[1321563153.263474, '62']
[1321563153.281296, '60']
[1321563153.299119, '60']
[1321563153.317124, '164']
[1321563153.334885, '163']
[1321563153.35283, '163']
[1321563153.370774, '161']
[1321563153.388718, '164']
[1321563153.40651, '164']
[1321563153.424363, '163']
[1321563153.476151, '59']
[1321563153.493912, '60']
[1321563153.511735, '57']
[1321563153.529648, '58']
[1321563153.547562, '60']
[1321563153.565537, '61']
[1321563153.583359, '60']
[1321563153.60106, '60']
[1321563153.618851, '62']
[1321563153.636613, '163']
[1321563153.654404, '163']
[1321563153.672196, '164']
[1321563153.69011, '161']
[1321563153.707993, '163']
[1321563153.725724, '162']
[1321563153.743577, '165']
[1321563153.795273, '59']
[1321563153.813004, '60']
[1321563153.830796, '58']
[1321563153.848618, '60']
[1321563153.866349, '62']
[1321563153.88411, '61']
[1321563153.901963, '59']
[1321563153.919724, '59']
[1321563153.937607, '62']
[1321563153.955338, '164']
[1321563153.973221, '164']
[1321563153.991166, '163']
[1321563154.008897, '161']
[1321563154.026749, '163']
[1321563154.044572, '164']
[1321563154.062424, '163']
[1321563154.11403, '59']
[1321563154.131882, '61']
[1321563154.149552, '63']
[1321563154.167374, '55']
[1321563154.185166, '60']
[1321563154.202897, '59']
[1321563154.220658, '58']
[1321563154.238602, '59']
[1321563154.256394, '59']
[1321563154.274155, '164']
[1321563154.291978, '163']
[1321563154.309739, '162']
[1321563154.327622, '164']
[1321563154.345414, '164']
[1321563154.363236, '162']
[1321563154.381058, '163']
[1321563154.432419, '58']
[1321563154.450303, '57']
[1321563154.468095, '59']
[1321563154.485917, '62']
[1321563154.50377, '61']
[1321563154.521622, '62']
[1321563154.539384, '59']
[1321563154.557206, '60']
[1321563154.57512, '59']
[1321563154.592911, '163']
[1321563154.610795, '163']
[1321563154.628709, '163']
[1321563154.646531, '162']
[1321563154.664292, '163']
[1321563154.682053, '163']
[1321563154.699906, '162']
[1321563154.751237, '60']
[1321563154.76912, '58']
[1321563154.786973, '61']
[1321563154.804734, '59']
[1321563154.822434, '57']
[1321563154.840287, '59']
[1321563154.857987, '62']
[1321563154.875809, '61']
[1321563154.893723, '61']
[1321563154.911668, '121']
[1321563154.929429, '164']
[1321563154.947282, '163']
[1321563154.965104, '163']
[1321563154.982957, '163']
[1321563155.000718, '163']
[1321563155.018571, '163']
[1321563155.070115, '57']
[1321563155.087845, '59']
[1321563155.10582, '62']
[1321563155.123551, '59']
[1321563155.141343, '61']
[1321563155.159165, '62']
