[1321559831.299503, '60']
[1321559831.317416, '58']
[1321559831.335178, '59']
[1321559831.353061, '62']
[1321559831.370853, '59']
[1321559831.388644, '59']
[1321559831.40665, '58']
[1321559831.424411, '58']
[1321559831.442172, '59']
[1321559831.459964, '60']
[1321559831.477756, '59']
[1321559831.495517, '59']
[1321559831.5134, '60']
[1321559831.531192, '61']
[1321559831.549106, '59']
[1321559831.566867, '60']
[1321559831.584659, '59']
[1321559831.602695, '56']
[1321559831.620548, '59']
[1321559831.638431, '58']
[1321559831.656253, '61']
[1321559831.674258, '60']
[1321559831.69205, '56']
[1321559831.709781, '59']
[1321559831.727634, '57']
[1321559831.745517, '58']
[1321559831.763309, '61']
[1321559831.781101, '61']
[1321559831.799167, '57']
[1321559831.816989, '63']
[1321559831.83475, '59']
[1321559831.852695, '62']
[1321559831.870456, '60']
[1321559831.888248, '61']
[1321559831.906009, '59']
[1321559831.923862, '58']
[1321559831.941684, '57']
[1321559831.959476, '61']
[1321559831.977329, '59']
[1321559831.995181, '61']
[1321559832.012943, '59']
[1321559832.030704, '59']
[1321559832.048465, '60']
[1321559832.066226, '58']
[1321559832.083926, '59']
[1321559832.101627, '59']
[1321559832.11951, '60']
[1321559832.13721, '60']
[1321559832.154849, '58']
[1321559832.172702, '61']
[1321559832.190524, '59']
[1321559832.208194, '57']
[1321559832.225955, '57']
[1321559832.243808, '60']
[1321559832.261661, '59']
[1321559832.279697, '58']
[1321559832.29755, '58']
[1321559832.315311, '56']
[1321559832.333194, '59']
[1321559832.351047, '59']
[1321559832.368869, '61']
[1321559832.386722, '60']
[1321559832.404483, '61']
[1321559832.422397, '59']
[1321559832.440158, '59']
[1321559832.457889, '61']
[1321559832.47565, '59']
[1321559832.493381, '60']
[1321559832.511203, '58']
[1321559832.530032, '58']
[1321559832.547855, '58']
[1321559832.565677, '62']
[1321559832.583499, '58']
[1321559832.601321, '59']
[1321559832.619388, '59']
[1321559832.63721, '62']
[1321559832.655032, '61']
[1321559832.672946, '60']
[1321559832.690707, '61']
[1321559832.70853, '60']
[1321559832.726383, '61']
[1321559832.744327, '61']
[1321559832.762546, '58']
[1321559832.78049, '58']
[1321559832.798404, '58']
[1321559832.816257, '60']
[1321559832.834049, '59']
[1321559832.852054, '61']
[1321559832.869998, '57']
[1321559832.887668, '60']
[1321559832.905368, '59']
[1321559832.92316, '59']
[1321559832.940952, '61']
[1321559832.958652, '60']
[1321559832.976505, '60']
[1321559832.994357, '59']
[1321559833.012515, '58']
[1321559833.030154, '59']
[1321559833.047916, '62']
[1321559833.065616, '61']
[1321559833.083255, '58']
[1321559833.100986, '59']
[1321559833.118778, '61']
[1321559833.136417, '59']
[1321559833.154086, '59']
[1321559833.172031, '61']
[1321559833.189792, '59']
[1321559833.207492, '59']
[1321559833.225131, '60']
[1321559833.242893, '58']
[1321559833.261142, '63']
[1321559833.279392, '60']
[1321559833.297092, '61']
[1321559833.314883, '60']
[1321559833.332492, '59']
[1321559833.350162, '60']
[1321559833.368106, '58']
[1321559833.385776, '60']
[1321559833.403446, '61']
[1321559833.421146, '62']
[1321559833.438815, '59']
[1321559833.456546, '56']
[1321559833.474399, '58']
[1321559833.49213, '58']
[1321559833.510837, '57']
[1321559833.528629, '61']
[1321559833.54639, '59']
[1321559833.564243, '61']
[1321559833.582004, '59']
[1321559833.599613, '60']
[1321559833.617252, '60']
[1321559833.635013, '60']
[1321559833.652683, '59']
[1321559833.670322, '61']
[1321559833.688175, '60']
[1321559833.705844, '61']
[1321559833.723544, '59']
[1321559833.741245, '59']
[1321559833.760349, '61']
[1321559833.77814, '60']
[1321559833.795841, '59']
[1321559833.813632, '60']
[1321559833.831302, '60']
[1321559833.848941, '61']
[1321559833.866672, '61']
[1321559833.884525, '60']
[1321559833.902225, '60']
[1321559833.919925, '61']
[1321559833.937595, '62']
[1321559833.955478, '60']
[1321559833.973178, '62']
[1321559833.990848, '59']
[1321559834.008701, '60']
[1321559834.026492, '61']
[1321559834.044254, '59']
[1321559834.062015, '58']
[1321559834.079959, '60']
[1321559834.097812, '59']
[1321559834.115573, '59']
[1321559834.133426, '61']
[1321559834.151187, '59']
[1321559834.168918, '58']
[1321559834.186649, '61']
[1321559834.20444, '62']
[1321559834.222293, '58']
[1321559834.239993, '58']
[1321559834.257724, '57']
[1321559834.275638, '58']
[1321559834.293399, '61']
[1321559834.311252, '61']
[1321559834.329227, '63']
[1321559834.347049, '60']
[1321559834.364871, '58']
[1321559834.382663, '57']
[1321559834.400638, '59']
[1321559834.418521, '61']
[1321559834.436313, '59']
[1321559834.454257, '58']
[1321559834.472019, '58']
[1321559834.48981, '60']
[1321559834.507755, '58']
[1321559834.52579, '61']
[1321559834.543613, '58']
[1321559834.561343, '58']
[1321559834.579166, '59']
[1321559834.596957, '57']
[1321559834.61478, '61']
[1321559834.632571, '62']
[1321559834.650546, '59']
[1321559834.66843, '62']
[1321559834.686191, '61']
[1321559834.704105, '58']
[1321559834.721957, '60']
[1321559834.739688, '59']
[1321559834.75748, '57']
[1321559834.775394, '58']
[1321559834.793247, '59']
[1321559834.810947, '59']
[1321559834.8288, '60']
[1321559834.84653, '59']
[1321559834.864261, '60']
[1321559834.882022, '61']
[1321559834.899783, '60']
[1321559834.917636, '58']
[1321559834.935306, '61']
[1321559834.953067, '60']
[1321559834.970981, '57']
[1321559834.988773, '59']
[1321559835.006564, '60']
[1321559835.024478, '60']
[1321559835.04227, '60']
[1321559835.060062, '59']
[1321559835.077884, '59']
[1321559835.095859, '59']
[1321559835.113773, '61']
[1321559835.131534, '60']
[1321559835.149387, '59']
[1321559835.167239, '62']
[1321559835.185092, '59']
[1321559835.202853, '57']
[1321559835.220737, '57']
[1321559835.238529, '60']
[1321559835.256229, '59']
[1321559835.274112, '59']
[1321559835.291965, '61']
[1321559835.310031, '59']
[1321559835.327823, '60']
[1321559835.345767, '59']
[1321559835.363498, '61']
[1321559835.381229, '59']
[1321559835.399081, '59']
[1321559835.416843, '58']
[1321559835.434665, '59']
[1321559835.452426, '61']
[1321559835.470248, '60']
[1321559835.488071, '60']
[1321559835.505954, '59']
[1321559835.523959, '58']
[1321559835.541751, '61']
[1321559835.559512, '57']
[1321559835.577304, '58']
[1321559835.595126, '61']
[1321559835.613071, '59']
[1321559835.630954, '62']
[1321559835.648898, '59']
[1321559835.66666, '58']
[1321559835.684543, '58']
[1321559835.702487, '60']
[1321559835.72031, '58']
[1321559835.738162, '60']
[1321559835.755954, '57']
[1321559835.773868, '60']
[1321559835.79166, '60']
[1321559835.809482, '59']
[1321559835.827335, '61']
[1321559835.845218, '58']
[1321559835.863071, '62']
[1321559835.880832, '59']
[1321559835.898685, '58']
[1321559835.91669, '59']
[1321559835.934451, '59']
[1321559835.952335, '59']
[1321559835.970218, '58']
[1321559835.98804, '59']
[1321559836.005893, '60']
[1321559836.023959, '59']
[1321559836.041782, '60']
[1321559836.059573, '61']
[1321559836.077426, '59']
[1321559836.095371, '60']
[1321559836.113223, '59']
[1321559836.131015, '58']
[1321559836.148959, '58']
[1321559836.166843, '60']
[1321559836.184665, '59']
[1321559836.202487, '61']
[1321559836.220462, '60']
[1321559836.238223, '59']
[1321559836.256076, '61']
[1321559836.27402, '62']
[1321559836.291934, '59']
[1321559836.309757, '61']
[1321559836.327579, '60']
[1321559836.345401, '59']
[1321559836.363254, '61']
[1321559836.381137, '59']
[1321559836.399051, '60']
[1321559836.416873, '61']
[1321559836.434665, '59']
[1321559836.452426, '62']
[1321559836.470279, '59']
[1321559836.488223, '59']
[1321559836.506107, '59']
[1321559836.525394, '58']
[1321559836.543186, '61']
[1321559836.560947, '62']
[1321559836.578891, '176']
[1321559836.596744, '176']
[1321559836.614627, '176']
[1321559836.63248, '174']
[1321559836.650302, '174']
[1321559836.668094, '175']
[1321559836.685977, '176']
[1321559836.736911, '60']
[1321559836.754642, '62']
[1321559836.772281, '59']
[1321559836.790103, '58']
[1321559836.807834, '60']
[1321559836.825717, '58']
[1321559836.843387, '59']
[1321559836.861179, '61']
[1321559836.87894, '60']
