[1321561817.62009, '59']
[1321561817.637332, '60']
[1321561817.654453, '60']
[1321561817.671634, '62']
[1321561817.688937, '60']
[1321561817.706149, '61']
[1321561817.723453, '59']
[1321561817.740573, '61']
[1321561817.757694, '61']
[1321561817.774936, '59']
[1321561817.792117, '61']
[1321561817.809268, '59']
[1321561817.82648, '62']
[1321561817.843601, '61']
[1321561817.860935, '59']
[1321561817.878146, '63']
[1321561817.895236, '62']
[1321561817.912448, '63']
[1321561817.929599, '58']
[1321561817.946872, '59']
[1321561817.963992, '61']
[1321561817.981204, '61']
[1321561817.998386, '62']
[1321561818.015628, '60']
[1321561818.032962, '60']
[1321561818.050174, '59']
[1321561818.067325, '60']
[1321561818.084506, '61']
[1321561818.101718, '61']
[1321561818.119022, '58']
[1321561818.136142, '60']
[1321561818.153354, '62']
[1321561818.170535, '60']
[1321561818.187747, '61']
[1321561818.204959, '59']
[1321561818.22211, '59']
[1321561818.23923, '60']
[1321561818.256351, '59']
[1321561818.273471, '62']
[1321561818.290653, '61']
[1321561818.307803, '63']
[1321561818.325015, '60']
[1321561818.342044, '60']
[1321561818.359134, '61']
[1321561818.376376, '62']
[1321561818.393436, '61']
[1321561818.410556, '60']
[1321561818.427707, '61']
[1321561818.444797, '62']
[1321561818.462009, '65']
[1321561818.479129, '58']
[1321561818.496219, '59']
[1321561818.513431, '59']
[1321561818.530521, '61']
[1321561818.547641, '61']
[1321561818.564883, '61']
[1321561818.581943, '59']
[1321561818.599094, '62']
[1321561818.616214, '60']
[1321561818.633609, '60']
[1321561818.650699, '58']
[1321561818.66785, '56']
[1321561818.68497, '64']
[1321561818.702121, '61']
[1321561818.719363, '60']
[1321561818.736484, '61']
[1321561818.753604, '60']
[1321561818.770664, '62']
[1321561818.787753, '61']
[1321561818.804843, '62']
[1321561818.822025, '62']
[1321561818.839114, '62']
[1321561818.856235, '60']
[1321561818.873477, '59']
[1321561818.890689, '61']
[1321561818.907993, '59']
[1321561818.925235, '61']
[1321561818.942539, '62']
[1321561818.959689, '60']
[1321561818.97684, '59']
[1321561818.994174, '57']
[1321561819.011356, '61']
[1321561819.028568, '59']
[1321561819.045749, '62']
[1321561819.063052, '62']
[1321561819.080295, '61']
[1321561819.097476, '59']
[1321561819.114688, '61']
[1321561819.1319, '62']
[1321561819.14899, '60']
[1321561819.166049, '60']
[1321561819.183139, '59']
[1321561819.200198, '60']
[1321561819.217258, '61']
[1321561819.234256, '62']
[1321561819.25156, '61']
[1321561819.268649, '61']
[1321561819.285709, '58']
[1321561819.302707, '61']
[1321561819.319797, '61']
[1321561819.336948, '61']
[1321561819.354007, '61']
[1321561819.371036, '59']
[1321561819.388065, '61']
[1321561819.405063, '61']
[1321561819.422153, '59']
[1321561819.439273, '61']
[1321561819.456332, '61']
[1321561819.473331, '61']
[1321561819.49039, '61']
[1321561819.507541, '62']
[1321561819.524783, '58']
[1321561819.541965, '62']
[1321561819.559055, '61']
[1321561819.576114, '60']
[1321561819.593143, '60']
[1321561819.610324, '60']
[1321561819.627383, '60']
[1321561819.644382, '61']
[1321561819.661411, '60']
[1321561819.678439, '62']
[1321561819.69556, '61']
[1321561819.712741, '63']
[1321561819.729739, '61']
[1321561819.746829, '61']
[1321561819.763858, '64']
[1321561819.780856, '61']
[1321561819.798068, '60']
[1321561819.815097, '60']
[1321561819.832126, '62']
[1321561819.849307, '60']
[1321561819.866367, '63']
