[1321563011.773484, '65']
[1321563011.809861, '57']
[1321563011.846268, '63']
[1321563011.881852, '59']
[1321563011.917618, '60']
[1321563011.953538, '61']
[1321563011.989457, '62']
[1321563012.018265, '61']
[1321563012.036271, '60']
[1321563012.054215, '62']
[1321563012.072495, '61']
[1321563012.090531, '63']
[1321563012.108506, '61']
[1321563012.126328, '64']
[1321563012.144395, '64']
[1321563012.162308, '64']
[1321563012.180161, '64']
[1321563012.198014, '61']
[1321563012.215989, '64']
[1321563012.233781, '62']
[1321563012.251603, '62']
[1321563012.269425, '60']
[1321563012.287308, '64']
[1321563012.305527, '59']
[1321563012.323502, '64']
[1321563012.341416, '65']
[1321563012.359238, '64']
[1321563012.377, '62']
[1321563012.394883, '64']
[1321563012.412644, '61']
[1321563012.430466, '61']
[1321563012.44835, '61']
[1321563012.466202, '63']
[1321563012.483903, '62']
[1321563012.501694, '63']
[1321563012.519425, '61']
[1321563012.537339, '63']
[1321563012.555344, '61']
[1321563012.573228, '62']
[1321563012.590958, '62']
[1321563012.60875, '62']
[1321563012.626511, '63']
[1321563012.644334, '63']
[1321563012.662125, '62']
[1321563012.679917, '63']
[1321563012.697709, '62']
[1321563012.715653, '63']
[1321563012.733506, '63']
[1321563012.751359, '61']
[1321563012.769242, '62']
[1321563012.787369, '62']
[1321563012.805131, '62']
[1321563012.822922, '61']
[1321563012.840836, '63']
[1321563012.85872, '60']
[1321563012.876542, '61']
[1321563012.894395, '62']
[1321563012.912247, '63']
[1321563012.930314, '60']
[1321563012.948228, '63']
[1321563012.96608, '63']
[1321563012.983872, '63']
[1321563013.001664, '61']
[1321563013.019425, '64']
[1321563013.037583, '60']
[1321563013.055344, '63']
[1321563013.073167, '60']
[1321563013.090897, '60']
[1321563013.108628, '62']
[1321563013.126603, '61']
[1321563013.144425, '60']
[1321563013.162186, '60']
[1321563013.179917, '61']
[1321563013.197678, '64']
[1321563013.215623, '60']
[1321563013.233506, '64']
[1321563013.251267, '63']
[1321563013.269089, '63']
[1321563013.28679, '61']
[1321563013.30449, '61']
[1321563013.322312, '62']
[1321563013.340134, '63']
[1321563013.357865, '64']
[1321563013.375596, '63']
[1321563013.393357, '59']
[1321563013.411149, '61']
[1321563013.42891, '62']
[1321563013.44658, '61']
[1321563013.464341, '61']
[1321563013.482102, '61']
[1321563013.499924, '63']
[1321563013.517777, '61']
[1321563013.535752, '62']
[1321563013.553391, '63']
[1321563013.571183, '63']
[1321563013.589005, '162']
[1321563013.606888, '161']
[1321563013.624558, '162']
[1321563013.642289, '160']
[1321563013.660111, '161']
[1321563013.677903, '161']
[1321563013.695634, '163']
[1321563013.746751, '60']
[1321563013.764481, '64']
[1321563013.782212, '62']
[1321563013.800004, '60']
[1321563013.817765, '61']
[1321563013.835496, '63']
[1321563013.853379, '60']
[1321563013.87111, '61']
[1321563013.888932, '62']
[1321563013.906754, '162']
[1321563013.924424, '162']
[1321563013.942216, '162']
[1321563013.959977, '162']
[1321563013.977677, '160']
[1321563013.995652, '162']
[1321563014.046494, '60']
[1321563014.064194, '63']
[1321563014.081895, '61']
[1321563014.099656, '59']
[1321563014.117234, '60']
[1321563014.134934, '62']
[1321563014.152787, '62']
[1321563014.170487, '63']
[1321563014.188126, '61']
[1321563014.205796, '161']
[1321563014.223557, '162']
[1321563014.241349, '162']
[1321563014.258958, '160']
[1321563014.276719, '161']
[1321563014.29448, '162']
[1321563014.31215, '162']
[1321563014.363572, '60']
[1321563014.381333, '61']
[1321563014.399033, '60']
[1321563014.416703, '59']
[1321563014.434403, '62']
[1321563014.452286, '62']
[1321563014.469956, '62']
[1321563014.487931, '60']
[1321563014.505631, '63']
[1321563014.523301, '162']
[1321563014.541032, '161']
[1321563014.558762, '161']
[1321563014.576401, '160']
[1321563014.594071, '162']
[1321563014.611771, '160']
[1321563014.629563, '163']
[1321563014.680802, '60']
[1321563014.698563, '61']
[1321563014.716324, '59']
[1321563014.733994, '61']
[1321563014.751633, '63']
[1321563014.769425, '62']
[1321563014.787095, '60']
[1321563014.804673, '64']
[1321563014.822312, '61']
[1321563014.840134, '160']
[1321563014.857773, '161']
[1321563014.875596, '162']
[1321563014.893357, '162']
[1321563014.911088, '161']
[1321563014.928788, '160']
[1321563014.946366, '161']
[1321563014.997758, '62']
[1321563015.015519, '63']
[1321563015.033158, '60']
[1321563015.05095, '64']
[1321563015.068894, '62']
[1321563015.086625, '62']
[1321563015.104233, '63']
[1321563015.121934, '60']
[1321563015.139634, '61']
[1321563015.157334, '61']
[1321563015.175156, '161']
[1321563015.192856, '161']
[1321563015.210496, '161']
[1321563015.228165, '162']
[1321563015.245866, '160']
[1321563015.263596, '162']
[1321563015.314896, '59']
[1321563015.332719, '60']
[1321563015.35048, '59']
[1321563015.36818, '62']
[1321563015.385941, '64']
[1321563015.403702, '62']
[1321563015.421464, '61']
[1321563015.439103, '59']
[1321563015.456864, '61']
[1321563015.474473, '61']
[1321563015.492325, '162']
[1321563015.509995, '161']
[1321563015.527939, '161']
[1321563015.545701, '162']
[1321563015.56334, '162']
[1321563015.581162, '161']
[1321563015.632432, '63']
[1321563015.650071, '60']
[1321563015.668015, '62']
[1321563015.685837, '63']
[1321563015.70366, '61']
[1321563015.72139, '62']
[1321563015.739304, '62']
[1321563015.757096, '65']
[1321563015.774796, '61']
[1321563015.792466, '63']
[1321563015.810136, '161']
[1321563015.827866, '161']
[1321563015.845536, '161']
[1321563015.863419, '159']
[1321563015.881119, '160']
[1321563015.898789, '161']
[1321563015.947709, '62']
[1321563015.96547, '63']
[1321563015.983353, '62']
[1321563016.001633, '62']
[1321563016.019395, '61']
[1321563016.037125, '60']
[1321563016.054917, '64']
[1321563016.072587, '61']
[1321563016.090501, '60']
[1321563016.10817, '61']
[1321563016.125809, '161']
[1321563016.14354, '161']
[1321563016.161149, '161']
[1321563016.178818, '160']
[1321563016.196427, '161']
[1321563016.214219, '162']
[1321563016.23198, '162']
[1321563016.284104, '62']
[1321563016.301835, '65']
[1321563016.319565, '61']
[1321563016.337205, '61']
[1321563016.354996, '60']
[1321563016.372727, '65']
[1321563016.390458, '61']
[1321563016.408127, '63']
[1321563016.42598, '61']
[1321563016.443864, '162']
[1321563016.461625, '163']
[1321563016.480057, '163']
[1321563016.498063, '160']
[1321563016.515855, '163']
[1321563016.533555, '162']
[1321563016.551377, '163']
[1321563016.602799, '63']
[1321563016.620591, '62']
[1321563016.638383, '64']
[1321563016.656022, '63']
[1321563016.673783, '61']
[1321563016.691636, '60']
[1321563016.709305, '62']
[1321563016.727036, '60']
[1321563016.744736, '61']
[1321563016.762589, '163']
[1321563016.78032, '163']
[1321563016.79799, '163']
[1321563016.815781, '162']
[1321563016.833604, '162']
[1321563016.851273, '164']
[1321563016.869004, '161']
[1321563016.920518, '62']
[1321563016.938248, '59']
[1321563016.956071, '61']
[1321563016.973801, '60']
[1321563016.991563, '60']
[1321563017.009293, '62']
[1321563017.027146, '63']
[1321563017.044999, '63']
[1321563017.06273, '59']
[1321563017.08046, '63']
[1321563017.098344, '163']
[1321563017.116166, '164']
[1321563017.133958, '164']
[1321563017.151902, '165']
[1321563017.169755, '163']
[1321563017.187516, '163']
[1321563017.239152, '62']
[1321563017.256943, '62']
[1321563017.274583, '61']
[1321563017.292405, '61']
[1321563017.310074, '60']
[1321563017.327897, '59']
[1321563017.345627, '61']
[1321563017.36348, '60']
[1321563017.381211, '63']
[1321563017.399003, '61']
[1321563017.417008, '163']
[1321563017.434769, '164']
[1321563017.452439, '164']
[1321563017.470139, '165']
[1321563017.489274, '162']
[1321563017.507188, '164']
[1321563017.558518, '63']
[1321563017.57634, '62']
[1321563017.594163, '62']
[1321563017.612076, '63']
[1321563017.62999, '63']
[1321563017.647782, '60']
[1321563017.665604, '64']
[1321563017.683366, '62']
[1321563017.701157, '61']
[1321563017.718918, '60']
[1321563017.73671, '163']
[1321563017.754655, '163']
[1321563017.772416, '163']
[1321563017.790147, '164']
[1321563017.808182, '161']
[1321563017.825974, '163']
[1321563017.877183, '62']
[1321563017.895035, '64']
[1321563017.912675, '61']
[1321563017.930375, '62']
[1321563017.948228, '62']
[1321563017.965989, '63']
[1321563017.98372, '60']
[1321563018.001603, '63']
[1321563018.019334, '59']
[1321563018.037003, '64']
[1321563018.054703, '163']
[1321563018.072404, '163']
[1321563018.090226, '163']
[1321563018.108079, '163']
[1321563018.125748, '163']
[1321563018.14351, '163']
[1321563018.194718, '59']
[1321563018.212479, '61']
[1321563018.230241, '62']
[1321563018.247941, '60']
[1321563018.26561, '63']
[1321563018.283341, '62']
[1321563018.301194, '60']
[1321563018.318925, '61']
[1321563018.336625, '59']
[1321563018.354417, '61']
[1321563018.372117, '163']
[1321563018.38997, '163']
[1321563018.407639, '163']
[1321563018.425492, '161']
[1321563018.443253, '166']
[1321563018.461014, '163']
[1321563018.509934, '63']
[1321563018.527787, '59']
[1321563018.545487, '62']
[1321563018.563218, '63']
[1321563018.581162, '64']
[1321563018.598893, '63']
[1321563018.616624, '62']
[1321563018.634385, '59']
[1321563018.652116, '60']
[1321563018.669785, '61']
[1321563018.687485, '164']
[1321563018.705216, '164']
[1321563018.723069, '163']
[1321563018.74083, '161']
[1321563018.758469, '165']
[1321563018.776169, '163']
[1321563018.793992, '164']
[1321563018.84462, '64']
[1321563018.862382, '61']
[1321563018.880021, '60']
[1321563018.89769, '59']
[1321563018.91536, '60']
[1321563018.933152, '60']
[1321563018.950791, '61']
[1321563018.968461, '60']
[1321563018.986283, '61']
[1321563019.004014, '82']
[1321563019.021805, '163']
[1321563019.039536, '164']
[1321563019.057297, '163']
[1321563019.075089, '163']
[1321563019.092789, '163']
[1321563019.110459, '162']
[1321563019.161851, '61']
[1321563019.179673, '62']
[1321563019.197404, '63']
[1321563019.215226, '62']
[1321563019.232926, '61']
[1321563019.250657, '62']
[1321563019.26854, '63']
[1321563019.28624, '63']
[1321563019.30394, '59']
[1321563019.32158, '61']
[1321563019.339402, '164']
[1321563019.357041, '164']
[1321563019.374924, '163']
[1321563019.392594, '163']
[1321563019.410355, '163']
[1321563019.428116, '164']
[1321563019.479142, '62']
[1321563019.496995, '60']
[1321563019.514756, '64']
[1321563019.532548, '60']
[1321563019.55037, '61']
[1321563019.568223, '61']
[1321563019.585953, '61']
[1321563019.603715, '59']
[1321563019.621598, '62']
[1321563019.639512, '62']
[1321563019.657273, '164']
[1321563019.675065, '163']
[1321563019.692765, '163']
[1321563019.710496, '164']
[1321563019.728226, '165']
[1321563019.745957, '163']
[1321563019.797257, '63']
[1321563019.815018, '62']
[1321563019.832932, '62']
[1321563019.850693, '61']
[1321563019.868424, '63']
[1321563019.886338, '60']
[1321563019.90416, '61']
[1321563019.921921, '63']
[1321563019.939835, '60']
[1321563019.95781, '61']
[1321563019.975602, '163']
[1321563019.993424, '163']
[1321563020.011307, '163']
[1321563020.029099, '164']
[1321563020.046891, '163']
[1321563020.064683, '162']
[1321563020.116105, '60']
[1321563020.133805, '63']
[1321563020.151719, '64']
