[1321563254.59932, '56']
[1321563254.617356, '56']
[1321563254.635514, '59']
[1321563254.653641, '58']
[1321563254.671647, '59']
[1321563254.689713, '59']
[1321563254.70781, '61']
[1321563254.725907, '60']
[1321563254.743973, '62']
[1321563254.76207, '60']
[1321563254.780076, '61']
[1321563254.79799, '59']
[1321563254.816117, '59']
[1321563254.834061, '57']
[1321563254.852036, '58']
[1321563254.870072, '60']
[1321563254.887986, '61']
[1321563254.905839, '57']
[1321563254.923875, '60']
[1321563254.94188, '59']
[1321563254.959855, '61']
[1321563254.977616, '57']
[1321563254.995682, '61']
[1321563255.013535, '61']
[1321563255.031357, '58']
[1321563255.049271, '60']
[1321563255.067216, '59']
[1321563255.085038, '59']
[1321563255.10283, '58']
[1321563255.120774, '56']
[1321563255.138535, '60']
[1321563255.156266, '59']
[1321563255.174149, '60']
[1321563255.192094, '59']
[1321563255.209885, '57']
[1321563255.227738, '60']
[1321563255.245682, '58']
[1321563255.263505, '60']
[1321563255.281266, '58']
[1321563255.299058, '62']
[1321563255.317094, '58']
[1321563255.334885, '60']
[1321563255.35283, '60']
[1321563255.370804, '56']
[1321563255.388627, '61']
[1321563255.406449, '58']
[1321563255.424332, '60']
[1321563255.442246, '59']
[1321563255.46019, '60']
[1321563255.478013, '57']
[1321563255.495957, '54']
[1321563255.51381, '58']
[1321563255.531663, '58']
[1321563255.549485, '58']
[1321563255.567399, '57']
[1321563255.585251, '57']
[1321563255.603135, '57']
[1321563255.621079, '60']
[1321563255.638962, '58']
[1321563255.656937, '59']
[1321563255.674882, '57']
[1321563255.692795, '60']
[1321563255.710679, '60']
[1321563255.72847, '60']
[1321563255.746415, '60']
[1321563255.764237, '59']
[1321563255.781998, '57']
[1321563255.79979, '60']
[1321563255.817612, '59']
[1321563255.835313, '59']
[1321563255.853165, '56']
[1321563255.871049, '59']
[1321563255.888932, '61']
[1321563255.906724, '58']
[1321563255.924546, '60']
[1321563255.94249, '58']
[1321563255.960343, '59']
[1321563255.978196, '60']
[1321563255.996018, '58']
[1321563256.01381, '58']
[1321563256.03148, '60']
[1321563256.04921, '59']
[1321563256.067124, '59']
[1321563256.084977, '57']
[1321563256.102738, '60']
[1321563256.120652, '59']
[1321563256.138444, '58']
[1321563256.156205, '60']
[1321563256.173936, '58']
[1321563256.191849, '58']
[1321563256.209702, '58']
[1321563256.227463, '60']
[1321563256.245347, '60']
[1321563256.263169, '58']
[1321563256.281083, '60']
[1321563256.298783, '58']
[1321563256.316849, '153']
[1321563256.334611, '152']
[1321563256.352433, '152']
[1321563256.370377, '150']
[1321563256.388169, '150']
[1321563256.406022, '152']
[1321563256.454728, '59']
[1321563256.472642, '61']
[1321563256.490403, '57']
[1321563256.508225, '58']
[1321563256.526047, '60']
[1321563256.543992, '59']
[1321563256.561967, '58']
[1321563256.579728, '59']
[1321563256.59755, '59']
[1321563256.615281, '133']
[1321563256.633011, '152']
[1321563256.650773, '152']
[1321563256.668748, '153']
[1321563256.68657, '151']
[1321563256.704209, '149']
[1321563256.722092, '152']
[1321563256.773423, '59']
[1321563256.791184, '58']
[1321563256.809067, '57']
[1321563256.826768, '59']
[1321563256.844498, '59']
[1321563256.86226, '56']
[1321563256.880051, '59']
[1321563256.89769, '57']
[1321563256.915391, '58']
[1321563256.933213, '152']
[1321563256.951005, '152']
[1321563256.968644, '151']
[1321563256.986405, '152']
[1321563257.004258, '151']
[1321563257.022019, '150']
[1321563257.039719, '151']
[1321563257.091538, '60']
[1321563257.109299, '61']
[1321563257.126939, '59']
[1321563257.144761, '56']
[1321563257.162461, '58']
[1321563257.180314, '61']
[1321563257.198044, '59']
[1321563257.215928, '56']
[1321563257.233628, '57']
[1321563257.251298, '153']
[1321563257.26915, '152']
[1321563257.28679, '151']
[1321563257.304459, '150']
[1321563257.32222, '151']
[1321563257.340043, '151']
[1321563257.357834, '151']
[1321563257.409226, '58']
[1321563257.426957, '60']
[1321563257.444688, '59']
[1321563257.46254, '57']
[1321563257.480454, '60']
[1321563257.498276, '60']
[1321563257.515946, '59']
[1321563257.533646, '59']
[1321563257.551499, '57']
[1321563257.56926, '57']
[1321563257.587022, '152']
[1321563257.604874, '152']
[1321563257.622666, '151']
[1321563257.640427, '152']
[1321563257.65825, '152']
[1321563257.676072, '151']
[1321563257.727372, '56']
[1321563257.745225, '60']
[1321563257.763047, '60']
[1321563257.7809, '59']
[1321563257.7986, '59']
[1321563257.816453, '59']
[1321563257.834153, '58']
[1321563257.851914, '58']
[1321563257.869645, '59']
[1321563257.887467, '59']
[1321563257.905167, '152']
[1321563257.922837, '151']
[1321563257.940598, '151']
[1321563257.958298, '152']
[1321563257.975938, '151']
[1321563257.993638, '152']
[1321563258.045365, '57']
[1321563258.063065, '60']
[1321563258.080765, '59']
[1321563258.098649, '60']
[1321563258.116379, '59']
[1321563258.13408, '57']
[1321563258.151902, '59']
[1321563258.169602, '59']
[1321563258.187272, '60']
[1321563258.205064, '58']
[1321563258.222947, '151']
[1321563258.240922, '151']
[1321563258.258683, '151']
[1321563258.276566, '155']
[1321563258.294327, '151']
[1321563258.31215, '152']
[1321563258.363389, '57']
[1321563258.38115, '60']
[1321563258.399064, '58']
[1321563258.417039, '57']
[1321563258.434891, '61']
[1321563258.452714, '59']
[1321563258.470597, '61']
[1321563258.488389, '61']
[1321563258.506058, '61']
[1321563258.523759, '60']
[1321563258.541489, '152']
[1321563258.559373, '152']
[1321563258.577134, '152']
[1321563258.594834, '153']
[1321563258.612687, '151']
[1321563258.63054, '152']
[1321563258.681962, '61']
[1321563258.699876, '61']
[1321563258.717545, '62']
[1321563258.735245, '61']
[1321563258.75319, '58']
[1321563258.77092, '56']
[1321563258.788712, '62']
[1321563258.806412, '57']
[1321563258.824326, '58']
[1321563258.841935, '59']
[1321563258.859635, '152']
[1321563258.877335, '151']
[1321563258.895249, '152']
[1321563258.912949, '150']
[1321563258.93068, '151']
[1321563258.948502, '151']
[1321563258.998063, '61']
[1321563259.015793, '60']
[1321563259.034287, '60']
[1321563259.051957, '60']
[1321563259.069718, '59']
[1321563259.087418, '62']
[1321563259.105179, '59']
[1321563259.122941, '57']
[1321563259.140671, '60']
[1321563259.158433, '62']
[1321563259.176346, '153']
[1321563259.194077, '152']
[1321563259.211899, '152']
[1321563259.229752, '150']
[1321563259.247513, '152']
[1321563259.265336, '153']
[1321563259.28389, '153']
[1321563259.335557, '57']
[1321563259.353287, '59']
[1321563259.371079, '59']
[1321563259.388871, '59']
[1321563259.406724, '60']
[1321563259.424515, '57']
[1321563259.442429, '61']
[1321563259.460221, '60']
[1321563259.478013, '62']
[1321563259.495835, '153']
[1321563259.513596, '151']
[1321563259.531296, '152']
[1321563259.549088, '150']
[1321563259.567002, '154']
[1321563259.584794, '153']
[1321563259.602677, '153']
[1321563259.654282, '57']
[1321563259.671921, '60']
[1321563259.689652, '58']
[1321563259.707474, '59']
[1321563259.725175, '61']
[1321563259.742875, '59']
[1321563259.760514, '59']
[1321563259.778275, '58']
[1321563259.796036, '58']
[1321563259.813737, '152']
[1321563259.831559, '152']
[1321563259.84932, '152']
[1321563259.867173, '150']
[1321563259.884965, '153']
[1321563259.902848, '152']
[1321563259.920731, '152']
[1321563259.972306, '58']
[1321563259.990342, '61']
[1321563260.008195, '60']
[1321563260.025956, '59']
[1321563260.04387, '59']
[1321563260.061692, '60']
[1321563260.079484, '61']
[1321563260.097459, '56']
[1321563260.115311, '58']
[1321563260.133134, '152']
[1321563260.150925, '154']
[1321563260.168809, '151']
[1321563260.186722, '151']
[1321563260.205857, '150']
[1321563260.223893, '150']
[1321563260.241715, '154']
[1321563260.29332, '61']
[1321563260.311143, '59']
[1321563260.328904, '59']
[1321563260.346818, '58']
[1321563260.364609, '61']
[1321563260.382462, '60']
[1321563260.400193, '59']
[1321563260.417893, '58']
[1321563260.435654, '60']
[1321563260.453477, '152']
[1321563260.471299, '152']
[1321563260.489213, '151']
[1321563260.507065, '149']
[1321563260.524918, '152']
[1321563260.542802, '153']
[1321563260.560563, '151']
[1321563260.612015, '59']
[1321563260.629838, '57']
[1321563260.647568, '61']
[1321563260.665269, '57']
[1321563260.683213, '59']
[1321563260.700913, '58']
[1321563260.718674, '56']
[1321563260.736405, '61']
[1321563260.754227, '62']
[1321563260.772141, '152']
[1321563260.789841, '151']
[1321563260.807664, '152']
[1321563260.825547, '152']
[1321563260.843186, '154']
[1321563260.860978, '150']
[1321563260.878678, '151']
[1321563260.929673, '60']
[1321563260.947373, '59']
[1321563260.965378, '60']
[1321563260.983201, '60']
[1321563261.000901, '60']
[1321563261.018754, '60']
[1321563261.036484, '61']
[1321563261.054124, '60']
[1321563261.071854, '59']
[1321563261.089646, '107']
[1321563261.107468, '152']
[1321563261.12523, '153']
[1321563261.143082, '152']
[1321563261.161057, '151']
[1321563261.178818, '150']
[1321563261.19661, '152']
[1321563261.248215, '59']
[1321563261.265916, '61']
[1321563261.283738, '60']
[1321563261.301652, '59']
[1321563261.319413, '59']
[1321563261.337113, '60']
[1321563261.355088, '59']
[1321563261.372788, '58']
[1321563261.390488, '59']
[1321563261.40825, '56']
[1321563261.426102, '152']
[1321563261.444016, '151']
[1321563261.461747, '151']
[1321563261.479539, '152']
[1321563261.497269, '152']
[1321563261.51497, '151']
[1321563261.56627, '59']
[1321563261.584061, '60']
[1321563261.601731, '58']
[1321563261.619431, '56']
[1321563261.637314, '61']
[1321563261.654984, '57']
[1321563261.672745, '59']
[1321563261.690598, '61']
[1321563261.708268, '60']
[1321563261.726029, '58']
[1321563261.743912, '152']
[1321563261.761735, '152']
[1321563261.779526, '153']
